chrom,V1
contig_28493,9
contig_13986,7
contig_14716,5
contig_20066,10
contig_5793,24
contig_26286,13
contig_13383,34
contig_28605,6
contig_5179,41
contig_22663,14
contig_7818,7
contig_4431,25
contig_1634,45
contig_6685,5
contig_19497,10
contig_11920,7
contig_4231,33
contig_3704,9
contig_1965,23
contig_14187,11
contig_30890,7
contig_3391,7
contig_11197,12
contig_12934,3
contig_128,11
contig_2578,27
contig_4446,19
contig_21389,42
contig_23130,18
contig_693,12
contig_2557,28
contig_7812,18
contig_31830,6
contig_1507,9
contig_7806,17
contig_32363,12
contig_16170,23
scaffold_1437,6
contig_11264,7
contig_2171,39
contig_15770,1
contig_15340,24
scaffold_1584,13
contig_2677,22
scaffold_47783,57
contig_720,12
contig_2847,9
contig_1002,10
contig_20690,8
contig_4096,3
contig_1581,20
contig_12000,23
scaffold_53305,33
contig_9875,31
contig_3976,24
contig_2882,19
contig_24985,12
scaffold_28333,10
contig_10188,7
contig_22857,31
contig_2298,8
contig_24847,25
contig_7027,11
scaffold_30683,16
contig_5572,12
contig_27975,9
contig_1312,6
contig_6731,14
contig_10377,18
contig_4827,1
contig_2435,19
scaffold_25826,26
contig_25498,6
contig_23536,2
contig_11214,9
contig_699,5
contig_471,17
contig_29229,34
contig_20252,20
contig_8437,5
contig_17285,1
contig_6038,6
contig_33746,17
contig_1129,14
contig_5937,11
contig_3122,9
scaffold_40091,15
contig_9398,25
contig_4782,16
contig_25484,5
contig_13241,10
contig_1037,30
contig_8788,6
contig_271,10
contig_9838,9
contig_932,2
contig_820,25
contig_4825,24
contig_4487,6
contig_14525,27
contig_4256,25
contig_9352,23
scaffold_12482,6
contig_9445,4
scaffold_3202,2
contig_3192,10
contig_22938,4
contig_20516,21
contig_5475,14
scaffold_31441,3
contig_550,11
contig_4419,17
contig_35763,17
contig_4821,32
contig_10512,18
contig_5913,23
contig_5508,4
contig_15348,13
contig_2100,10
contig_9074,15
contig_31564,7
contig_2579,5
contig_16763,44
contig_28086,13
contig_3624,15
contig_5556,11
contig_28585,13
contig_1606,13
contig_3015,14
contig_4566,19
contig_5741,14
contig_12846,16
contig_21786,7
contig_3194,10
contig_160,6
contig_24377,5
contig_4095,20
contig_3946,14
contig_8765,8
contig_4719,12
contig_4977,31
contig_2172,14
contig_71,22
contig_17903,4
contig_11245,19
contig_2876,25
contig_4038,11
contig_27587,9
contig_8870,9
contig_6916,16
scaffold_7975,23
contig_22269,18
contig_12774,18
contig_1071,16
contig_5760,3
contig_37555,2
scaffold_4852,25
contig_23803,11
contig_7271,14
contig_4849,8
contig_1314,2
contig_4675,13
contig_16836,5
contig_11834,12
contig_841,15
contig_1135,10
contig_2238,17
contig_1766,52
contig_29928,27
contig_2191,19
contig_1208,1
contig_893,10
contig_25609,1
contig_6885,14
contig_1821,3
contig_29170,23
contig_3116,3
contig_24596,7
scaffold_22461,6
scaffold_7480,5
contig_11720,3
contig_2618,10
contig_16372,16
contig_4483,11
contig_12603,17
contig_17378,21
contig_3154,3
contig_14985,3
contig_4393,9
contig_1290,8
contig_1697,16
contig_9018,14
scaffold_24457,4
contig_33202,6
contig_33381,10
contig_19467,6
contig_4648,7
contig_7787,6
contig_17022,11
contig_3767,13
contig_10545,9
contig_1138,7
contig_202,8
contig_5143,2
contig_2685,13
contig_24388,8
contig_6812,19
contig_5866,10
contig_4999,4
contig_24996,25
contig_8021,2
contig_23024,9
contig_831,20
contig_15255,21
contig_11388,10
contig_11541,29
scaffold_36533,26
contig_9890,10
contig_27070,26
contig_29962,37
contig_7534,9
contig_19429,18
contig_25214,17
contig_356,11
contig_25679,13
contig_23904,18
contig_5660,12
contig_353,12
contig_1520,18
contig_923,16
contig_21622,27
contig_1485,24
contig_2371,11
contig_5209,8
contig_1306,23
contig_27151,22
contig_24619,22
contig_2306,10
contig_1842,10
contig_18887,9
contig_3800,9
contig_43020,27
contig_4466,6
contig_4742,30
contig_33353,17
contig_13803,1
contig_25406,17
contig_6962,6
contig_2054,9
contig_1733,8
contig_1976,10
contig_749,11
contig_2096,32
contig_20847,1
contig_10537,17
contig_15740,16
contig_2094,6
contig_5127,5
contig_8211,33
contig_958,13
contig_22214,44
scaffold_801,30
contig_4167,9
contig_8760,8
contig_2928,18
contig_5427,30
contig_4959,7
contig_10628,10
contig_5827,3
contig_18903,10
contig_3357,3
contig_13267,17
contig_17514,20
contig_15929,16
contig_10080,26
contig_3081,26
contig_1926,5
contig_2669,25
contig_4479,6
scaffold_7497,29
contig_4443,3
contig_3900,13
contig_2700,23
contig_289,3
contig_15525,27
contig_248,1
contig_18193,6
contig_20936,19
contig_21675,4
contig_5461,23
contig_36394,2
contig_26119,8
contig_20549,7
contig_5237,22
contig_19610,1
contig_5949,7
contig_23969,15
contig_20212,1
contig_13252,14
contig_3241,7
contig_4620,11
contig_502,40
contig_21732,2
contig_37197,29
contig_1731,15
contig_800,17
contig_22627,9
contig_32938,19
contig_21660,13
contig_8589,10
contig_6705,8
contig_1703,4
contig_11035,6
contig_11465,7
contig_1418,10
contig_1884,18
contig_12752,4
contig_1136,12
contig_6925,14
contig_7236,18
contig_3703,4
contig_26594,6
contig_10117,14
contig_5022,9
contig_1836,7
contig_21406,14
contig_15417,5
contig_912,9
contig_7235,34
contig_1868,12
contig_833,19
contig_3429,12
contig_16723,14
contig_1954,6
contig_22882,19
contig_7414,2
contig_21706,6
contig_305,2
contig_4926,3
contig_3603,17
contig_4449,7
contig_1014,9
contig_3947,7
contig_11140,3
contig_19877,19
contig_5781,32
contig_5761,8
contig_3261,3
contig_2317,24
contig_17587,4
contig_5344,30
contig_4465,4
contig_8505,20
contig_2918,1
contig_1137,17
contig_2395,16
contig_7199,1
contig_3278,5
contig_1745,2
contig_11306,11
contig_3413,9
scaffold_3968,20
contig_194,10
contig_8344,11
contig_1605,13
contig_1086,14
contig_20563,9
contig_1399,14
contig_1957,4
contig_18156,3
contig_6668,7
contig_4011,9
contig_627,3
contig_4117,10
contig_5745,25
contig_27113,12
contig_4665,12
contig_11229,10
contig_5884,13
contig_87,18
contig_25413,12
contig_8076,8
contig_28407,1
contig_24971,13
contig_1297,5
contig_1261,21
contig_3956,17
scaffold_9270,16
contig_31738,19
contig_10093,1
contig_4908,12
contig_27552,17
contig_11137,6
contig_18764,27
contig_6996,12
contig_5648,20
contig_2924,9
contig_12904,4
contig_12663,24
contig_17674,10
contig_23582,2
contig_23890,5
contig_5772,4
contig_32904,10
contig_17699,6
contig_974,11
contig_10623,15
contig_2396,7
contig_8476,5
contig_16831,1
contig_870,12
contig_1870,26
contig_2177,3
contig_15419,9
contig_567,9
contig_2670,19
contig_2926,9
contig_1816,8
contig_7109,8
contig_10123,4
contig_549,18
contig_3344,18
contig_8534,2
contig_24491,8
contig_21454,11
contig_10361,2
contig_8865,6
contig_4870,12
contig_7981,1
contig_4779,8
contig_2368,11
contig_1986,2
contig_20055,9
contig_8925,34
contig_5137,19
contig_9922,19
contig_23575,20
contig_7254,5
contig_6052,13
contig_9770,16
contig_23277,13
contig_7221,14
contig_2742,8
contig_4234,13
contig_45779,3
contig_4856,7
contig_8310,2
contig_6349,12
contig_4370,21
contig_3348,4
contig_26,9
contig_13799,6
contig_1419,9
contig_2870,2
contig_22184,3
contig_21371,14
contig_18670,6
contig_1296,10
contig_6642,5
contig_440,9
contig_615,6
contig_21505,2
contig_24523,10
contig_13358,12
scaffold_46936,4
contig_2205,3
contig_48,19
contig_14926,25
contig_10204,5
contig_3247,2
scaffold_30622,8
contig_445,1
contig_3117,9
scaffold_623,5
contig_1558,6
contig_2555,15
contig_1829,3
contig_33006,12
contig_2681,10
contig_1657,4
contig_7041,19
contig_10467,2
contig_2455,16
contig_11088,9
contig_20063,2
contig_25393,2
contig_1452,1
contig_18914,3
contig_28822,16
contig_17619,11
contig_4911,8
contig_4749,14
contig_31187,18
contig_22783,6
contig_1873,7
contig_4371,16
contig_4639,7
contig_22581,2
contig_2051,27
contig_14998,8
scaffold_33148,6
contig_10790,7
contig_29247,1
contig_6899,9
contig_1825,12
contig_8389,10
scaffold_34772,8
contig_11110,11
contig_30221,13
contig_4557,13
contig_838,40
contig_34278,7
contig_49,11
contig_222,1
contig_8207,13
contig_21201,4
contig_14284,7
contig_22393,7
contig_8352,29
scaffold_51942,18
contig_27161,11
contig_2121,16
contig_21870,13
contig_41689,22
contig_96,8
contig_36720,8
contig_3490,2
contig_40384,6
contig_44207,8
contig_5306,7
contig_1292,11
contig_8757,1
contig_10174,3
contig_12622,1
contig_18603,2
contig_1760,2
contig_24757,7
contig_19389,18
contig_9796,16
contig_4395,13
contig_14711,4
contig_17754,4
scaffold_971,13
contig_23312,12
contig_39032,7
contig_29300,9
contig_11052,2
contig_73,4
contig_25845,5
contig_66058,11
contig_22264,26
contig_11936,14
contig_4276,18
contig_1655,10
contig_4784,2
contig_4002,5
contig_8218,2
contig_5136,17
contig_9428,3
contig_1472,4
contig_1307,15
contig_5694,6
scaffold_29919,30
contig_453,3
contig_30502,9
contig_12546,7
scaffold_6857,6
contig_791,3
contig_12316,6
contig_907,12
contig_1440,17
contig_10448,11
contig_2647,2
contig_4503,9
contig_3269,13
contig_12547,10
contig_7202,18
contig_2057,25
contig_31145,7
contig_16900,13
contig_6187,28
contig_38586,9
contig_12252,7
contig_39224,13
contig_21461,2
contig_25216,3
contig_29450,2
contig_3050,15
contig_37971,25
contig_2585,7
contig_2961,14
contig_11876,6
contig_739,13
contig_32374,10
contig_1033,11
contig_2806,12
contig_1357,9
contig_31880,8
contig_2833,2
contig_4458,10
contig_16561,17
contig_4506,1
contig_5331,24
contig_9797,2
scaffold_28577,20
contig_29711,3
contig_9868,30
contig_5779,2
contig_14413,21
contig_12037,7
contig_21076,3
contig_15232,2
contig_17518,1
contig_15057,7
contig_17813,33
contig_10873,20
contig_79,9
contig_1498,22
contig_34813,9
contig_1669,7
contig_4333,1
contig_10054,17
contig_16254,11
contig_187,9
contig_11431,9
contig_1317,8
contig_14882,8
contig_16073,5
contig_1735,2
contig_1205,1
contig_8646,1
contig_84,3
contig_15347,3
contig_258,24
contig_829,6
contig_8951,4
contig_21935,11
contig_22716,9
contig_11910,20
contig_25375,5
contig_5339,1
contig_15932,19
contig_24620,3
contig_754,3
contig_22261,17
scaffold_23604,15
contig_9621,10
contig_1015,5
contig_1932,7
scaffold_28392,18
contig_23184,12
contig_22423,21
contig_25448,4
scaffold_28743,12
contig_261,6
contig_6468,9
contig_29228,10
contig_14635,3
contig_12314,14
contig_1661,5
contig_3532,6
contig_19546,9
contig_83,19
contig_25643,3
contig_5408,1
contig_3907,2
contig_17590,4
contig_11115,1
contig_1625,11
contig_9865,14
contig_4463,2
contig_2369,13
contig_22040,24
contig_15377,10
contig_7961,10
contig_24379,22
contig_16007,24
contig_14976,15
contig_7990,2
contig_28798,16
contig_3211,6
contig_10475,14
contig_33171,7
contig_13655,6
contig_2122,2
contig_18561,11
contig_20962,24
contig_24923,9
contig_5090,14
contig_15028,4
contig_6133,11
contig_27757,9
contig_38024,6
contig_2335,7
contig_7052,9
contig_9118,4
contig_10864,3
contig_9564,1
contig_4441,3
contig_16245,10
contig_685,4
contig_5498,10
contig_17607,7
contig_12465,5
contig_26463,7
contig_6029,5
contig_1705,3
contig_16008,8
contig_5803,6
contig_13139,14
contig_3799,8
contig_10470,19
contig_26368,12
contig_225,4
contig_8737,21
contig_12367,9
contig_464,11
contig_1852,9
contig_11504,10
contig_21362,6
contig_4053,8
contig_4846,4
contig_19716,4
contig_3164,12
contig_4188,16
contig_2425,11
contig_10768,2
contig_46832,14
contig_7570,4
contig_11164,23
contig_55,10
contig_43831,7
contig_21188,7
contig_38642,25
contig_21841,21
contig_23625,10
contig_32831,14
contig_2105,24
contig_3287,29
contig_118,11
contig_5084,5
scaffold_54179,1
contig_6882,3
contig_6110,15
scaffold_9538,27
contig_9274,6
contig_16832,6
contig_23145,20
contig_8502,9
contig_3231,9
contig_4348,7
contig_23045,2
contig_13268,14
contig_7521,1
contig_4387,2
contig_1891,10
scaffold_21013,1
contig_29209,14
contig_4368,24
contig_3758,20
contig_12837,2
contig_7896,6
contig_33764,26
contig_11861,17
contig_5890,13
contig_18573,10
contig_55678,4
contig_5412,16
contig_35277,9
contig_3761,11
contig_5239,8
contig_12909,18
contig_23416,26
contig_2851,5
contig_6575,5
contig_25434,2
contig_23589,13
contig_618,5
contig_10161,12
contig_39663,5
contig_15737,8
contig_17466,7
contig_30037,23
contig_25906,10
contig_3096,7
contig_26965,7
contig_3938,2
contig_22845,11
contig_5624,11
contig_4889,3
contig_412,9
contig_9360,20
contig_26858,7
contig_13665,3
contig_656,1
contig_2305,9
contig_2796,11
contig_22797,15
contig_26389,14
contig_134,4
contig_3009,19
contig_22467,22
contig_38645,11
contig_1480,11
contig_4402,8
contig_7054,1
contig_8513,19
contig_16802,10
contig_31554,6
contig_38581,4
contig_5970,11
contig_21267,4
contig_5228,11
contig_36997,6
contig_1408,3
contig_34981,3
contig_34977,12
